                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                 1.1024,                0.54355,                 1.0519,                0.85882,                0.94774,                0.97235,                0.55646,                 1.6427,                0.72741,                 1.4213,             0.00087562,             0.00087562,             0.00087562
                    110,                  1.124,                0.51705,                  1.076,                0.71914,                0.83956,                0.83218,                0.42847,                 1.8028,                 1.0279,                 1.5681,             0.00087342,             0.00087342,             0.00087342
                    111,                 1.0808,                0.51727,                 1.0763,                0.82506,                0.78532,                0.77281,                0.41345,                 1.7644,                 1.0996,                 1.5229,             0.00087122,             0.00087122,             0.00087122
                    112,                 1.1015,                0.58543,                 1.0813,                0.95069,                0.93015,                0.96599,                0.58069,                 1.5276,                0.59024,                 1.3332,             0.00086902,             0.00086902,             0.00086902
                    113,                 1.0873,                0.57374,                 1.0691,                0.95069,                0.93015,                0.96599,                0.58069,                 1.5276,                0.59024,                 1.3332,             0.00086682,             0.00086682,             0.00086682
                    114,                 1.1314,                0.61566,                 1.1217,                0.99024,                0.99402,                  0.995,                0.64763,                 1.3688,                0.47407,                 1.2341,             0.00086462,             0.00086462,             0.00086462
                    115,                 1.0885,                 0.5597,                 1.0232,                0.98675,                      1,                  0.995,                0.67713,                 1.2434,                0.44413,                 1.1731,             0.00086242,             0.00086242,             0.00086242
                    116,                  1.114,                0.53796,                 1.0895,                0.94008,                0.91836,                0.96595,                0.65535,                 1.2766,                0.54766,                 1.1812,             0.00086023,             0.00086023,             0.00086023
                    117,                  1.059,                 0.5615,                  1.048,                0.94008,                0.91836,                0.96595,                0.65535,                 1.2766,                0.54766,                 1.1812,             0.00085803,             0.00085803,             0.00085803
                    118,                 1.0569,                0.54442,                 1.0844,                0.93751,                0.94643,                 0.9521,                0.62708,                 1.3276,                0.54825,                 1.2095,             0.00085583,             0.00085583,             0.00085583
                    119,                 1.0871,                0.57513,                 1.0782,                0.98281,                      1,                  0.995,                0.64019,                 1.3794,                0.46401,                 1.2403,             0.00085363,             0.00085363,             0.00085363
                    120,                0.98742,                0.51814,                 1.0242,                 0.9928,                      1,                  0.995,                0.64402,                 1.3968,                0.45768,                 1.2469,             0.00085143,             0.00085143,             0.00085143
                    121,                0.99708,                 0.4977,                  1.001,                 0.9928,                      1,                  0.995,                0.64402,                 1.3968,                0.45768,                 1.2469,             0.00084923,             0.00084923,             0.00084923
                    122,                 1.0893,                0.52134,                 1.0502,                0.98496,                0.97533,                  0.995,                0.64679,                 1.3399,                0.45531,                 1.2243,             0.00084703,             0.00084703,             0.00084703
                    123,                 1.0195,                0.49711,                 1.0328,                0.95979,                 0.9705,                  0.995,                0.63651,                 1.4103,                0.48146,                 1.2916,             0.00084483,             0.00084483,             0.00084483
                    124,                 1.0634,                 0.5221,                 1.0666,                0.98798,                      1,                  0.995,                0.64594,                 1.4025,                0.44878,                 1.2797,             0.00084263,             0.00084263,             0.00084263
                    125,                 1.0411,                0.51712,                 1.0611,                0.98798,                      1,                  0.995,                0.64594,                 1.4025,                0.44878,                 1.2797,             0.00084043,             0.00084043,             0.00084043
                    126,                 1.0464,                 0.5077,                 1.0206,                0.98762,                      1,                  0.995,                0.62492,                 1.4983,                 0.4832,                 1.3503,             0.00083823,             0.00083823,             0.00083823
                    127,                 1.0745,                0.53432,                 1.0699,                0.98736,                      1,                  0.995,                0.61556,                 1.5106,                0.47586,                 1.3434,             0.00083603,             0.00083603,             0.00083603
                    128,                 1.0799,                0.54215,                  1.051,                0.97662,                      1,                  0.995,                0.62203,                 1.4265,                 0.4684,                 1.2831,             0.00083383,             0.00083383,             0.00083383
                    129,                 1.0958,                0.51375,                 1.1188,                0.97662,                      1,                  0.995,                0.62203,                 1.4265,                 0.4684,                 1.2831,             0.00083163,             0.00083163,             0.00083163
                    130,                 1.0461,                0.50349,                  1.064,                0.98663,                      1,                  0.995,                0.66578,                 1.2593,                0.43349,                 1.1725,             0.00082943,             0.00082943,             0.00082943
                    131,                0.97269,                0.47884,                 1.0122,                0.98498,                      1,                  0.995,                 0.6663,                 1.2477,                0.43012,                 1.1673,             0.00082723,             0.00082723,             0.00082723
                    132,                0.98199,                0.51002,                 1.0523,                0.97933,                      1,                  0.995,                0.61701,                 1.4542,                0.48121,                 1.2962,             0.00082503,             0.00082503,             0.00082503
